"","sk_caracterizacao_turismo_informal","Ano","massa_salarial","Número de ocupações","Gênero","Idade","Remuneração","Instrução","Horas Trabalhadas/Semana","Contribuição à Previdência Social","co_regiao_geografica","Região","Atividade Característica do Turismo"
"1",7212,2012,2739.137732,17.9163726,"Masculino","Até 24 anos","Até 1/2 salário mínimo","Até 5º ano","Até 20 horas","Não contribuinte",45,"Sul","Cultura e Lazer"
"2",8090,2012,344343.5344,177.8480916,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","Ensino médio e superior incompleto","41 horas ou mais","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"3",7536,2012,22857.09756,40.9239472,"Masculino","Até 24 anos","Mais de 1/2 salário mínimo","Superior completo","Até 20 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"4",8735,2013,10618.25803,31.6462309,"Feminino","Até 24 anos","Mais de 1/2 salário mínimo","6º a 9º ano","Até 20 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"5",9402,2015,8227.3176,13.712196,"Feminino","50 anos ou mais","Até 1/2 salário mínimo","Até 5º ano","41 horas ou mais","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"6",8250,2012,696.369814,1.3927396,"Masculino","50 anos ou mais","Até 1/2 salário mínimo","6º a 9º ano","21 a 40 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"7",7285,2015,4211.923333,7.0198722,"Masculino","Até 24 anos","Até 1/2 salário mínimo","6º a 9º ano","41 horas ou mais","Não contribuinte",18,"Norte","Cultura e Lazer"
"8",7513,2014,27268.26988,41.0169717,"Masculino","Até 24 anos","Mais de 1/2 salário mínimo","Ensino médio e superior incompleto","21 a 40 horas","Não contribuinte",55,"Centro-Oeste","Cultura e Lazer"
"9",9461,2013,7215.160142,5.5501232,"Feminino","50 anos ou mais","Até 1/2 salário mínimo","Superior completo","Até 20 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"10",9297,2013,31569.52183,15.4470908,"Feminino","25 a 49 anos","Mais de 1/2 salário mínimo","Superior completo","Até 20 horas","Contribuinte",30,"Nordeste","Cultura e Lazer"
"11",8296,2015,41009.62322,13.6698744,"Masculino","50 anos ou mais","Até 1/2 salário mínimo","Ensino médio e superior incompleto","41 horas ou mais","Contribuinte",30,"Nordeste","Cultura e Lazer"
"12",8169,2013,52477.99403,24.5920092,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","Superior completo","41 horas ou mais","Contribuinte",30,"Nordeste","Cultura e Lazer"
"13",7660,2013,1720.960034,3.0814027,"Masculino","25 a 49 anos","Até 1/2 salário mínimo","6º a 9º ano","Até 20 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"14",9306,2012,47173.99168,46.6265649,"Feminino","25 a 49 anos","Mais de 1/2 salário mínimo","Superior completo","Até 20 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"15",9120,2012,3795.184089,9.3326712,"Feminino","25 a 49 anos","Mais de 1/2 salário mínimo","Até 5º ano","21 a 40 horas","Contribuinte",30,"Nordeste","Cultura e Lazer"
"16",8440,2014,2540.81485,1.6938766,"Masculino","50 anos ou mais","Mais de 1/2 salário mínimo","6º a 9º ano","21 a 40 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"17",7236,2014,15927.58987,70.5912337,"Masculino","Até 24 anos","Até 1/2 salário mínimo","Até 5º ano","21 a 40 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"18",8608,2015,2465.34079,7.0438308,"Feminino","Até 24 anos","Até 1/2 salário mínimo","6º a 9º ano","Até 20 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"19",7917,2013,47418.35325,35.1810486,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","Até 5º ano","21 a 40 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"20",9609,2012,17622.9284,14.6551144,"Feminino","50 anos ou mais","Mais de 1/2 salário mínimo","Ensino médio e superior incompleto","41 horas ou mais","Contribuinte",30,"Nordeste","Cultura e Lazer"
"21",9176,2013,1654.66801,5.51556,"Feminino","25 a 49 anos","Mais de 1/2 salário mínimo","6º a 9º ano","Até 20 horas","Não contribuinte",45,"Sul","Cultura e Lazer"
"22",7558,2014,23981.93584,14.5095733,"Masculino","Até 24 anos","Mais de 1/2 salário mínimo","Superior completo","21 a 40 horas","Não contribuinte",45,"Sul","Cultura e Lazer"
"23",8128,2014,19236.84975,14.511458,"Masculino","25 a 49 anos","Mais de 1/2 salário mínimo","Superior completo","Até 20 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"24",7316,2012,4672.008389,8.3787812,"Masculino","Até 24 anos","Até 1/2 salário mínimo","Ensino médio e superior incompleto","21 a 40 horas","Não contribuinte",18,"Norte","Cultura e Lazer"
"25",9320,2012,2200.826525,1.4672177,"Feminino","25 a 49 anos","Mais de 1/2 salário mínimo","Superior completo","21 a 40 horas","Contribuinte",18,"Norte","Cultura e Lazer"
"26",9511,2012,15391.948,33.6490186,"Feminino","50 anos ou mais","Mais de 1/2 salário mínimo","Até 5º ano","21 a 40 horas","Não contribuinte",39,"Sudeste","Cultura e Lazer"
"27",7296,2013,7764.456887,37.0459442,"Masculino","Até 24 anos","Até 1/2 salário mínimo","Ensino médio e superior incompleto","Até 20 horas","Não contribuinte",30,"Nordeste","Cultura e Lazer"
"28",9360,2012,28622.23562,9.8109553,"Feminino","25 a 49 anos","Mais de 1/2 salário mínimo","Superior completo","41 horas ou mais","Não contribuinte",30,"Nordeste","Cultura e Lazer"
